,GRID_NAME,BIOME,YEAR,T0_P,T1_P,T0_S,T1_S,CC,SATELLITE
34,SA-23-Z-D,CAATINGA,2019,01/01/2019,31/12/2019,01/08/2019,31/12/2019,80,L8
35,SA-23-Z-D,CAATINGA,2020,01/01/2020,31/12/2020,01/08/2020,31/12/2020,80,L8
36,SA-24-Y-A,CAATINGA,1985,01/01/1985,31/12/1985,01/08/1985,31/12/1985,80,L5
37,SA-24-Y-A,CAATINGA,1986,01/01/1986,31/12/1986,01/08/1986,31/12/1986,80,L5
38,SA-24-Y-A,CAATINGA,1987,01/01/1987,31/12/1987,01/08/1987,31/12/1987,80,L5
39,SA-24-Y-A,CAATINGA,1988,01/01/1988,31/12/1988,01/08/1988,31/12/1988,80,L5
40,SA-24-Y-A,CAATINGA,1989,01/01/1989,31/12/1989,01/08/1989,31/12/1989,80,L5
41,SA-24-Y-A,CAATINGA,1990,01/01/1990,31/12/1990,01/08/1990,31/12/1990,80,L5
42,SA-24-Y-A,CAATINGA,1991,01/01/1991,31/12/1991,01/08/1991,31/12/1991,80,L5
43,SA-24-Y-A,CAATINGA,1992,01/01/1992,31/12/1992,01/08/1992,31/12/1992,80,L5
44,SA-24-Y-A,CAATINGA,1993,01/01/1993,31/12/1993,01/08/1993,31/12/1993,80,L5
45,SA-24-Y-A,CAATINGA,1994,01/01/1994,31/12/1994,01/08/1994,31/12/1994,80,L5
46,SA-24-Y-A,CAATINGA,1995,01/01/1995,31/12/1995,01/08/1995,31/12/1995,80,L5
47,SA-24-Y-A,CAATINGA,1996,01/01/1996,31/12/1996,01/08/1996,31/12/1996,80,L5
48,SA-24-Y-A,CAATINGA,1997,01/01/1997,31/12/1997,01/08/1997,31/12/1997,80,L5
49,SA-24-Y-A,CAATINGA,1998,01/01/1998,31/12/1998,01/08/1998,31/12/1998,80,L5
50,SA-24-Y-A,CAATINGA,1999,01/01/1999,31/12/1999,01/08/1999,31/12/1999,80,L5
51,SA-24-Y-A,CAATINGA,2000,01/01/2000,31/12/2000,01/08/2000,31/12/2000,80,L7
52,SA-24-Y-A,CAATINGA,2001,01/01/2001,31/12/2001,01/08/2001,31/12/2001,80,L7
53,SA-24-Y-A,CAATINGA,2002,01/01/2002,31/12/2002,01/08/2002,31/12/2002,80,L7
54,SA-24-Y-A,CAATINGA,2003,01/01/2003,31/12/2003,01/08/2003,31/12/2003,80,L5
55,SA-24-Y-A,CAATINGA,2004,01/01/2004,31/12/2004,01/08/2004,31/12/2004,80,L5
56,SA-24-Y-A,CAATINGA,2005,01/01/2005,31/12/2005,01/08/2005,31/12/2005,80,L5
57,SA-24-Y-A,CAATINGA,2006,01/01/2006,31/12/2006,01/08/2006,31/12/2006,80,L5
58,SA-24-Y-A,CAATINGA,2007,01/01/2007,31/12/2007,01/08/2007,31/12/2007,80,L5
59,SA-24-Y-A,CAATINGA,2008,01/01/2008,31/12/2008,01/08/2008,31/12/2008,80,L5
60,SA-24-Y-A,CAATINGA,2009,01/01/2009,31/12/2009,01/08/2009,31/12/2009,80,L5
61,SA-24-Y-A,CAATINGA,2010,01/01/2010,31/12/2010,01/08/2010,31/12/2010,80,L5
62,SA-24-Y-A,CAATINGA,2011,01/01/2011,31/12/2011,01/08/2011,31/12/2011,80,L5
63,SA-24-Y-A,CAATINGA,2012,01/01/2012,31/12/2012,01/08/2012,31/12/2012,80,L7
64,SA-24-Y-A,CAATINGA,2013,01/01/2013,31/12/2013,01/08/2013,31/12/2013,80,L8
65,SA-24-Y-A,CAATINGA,2014,01/01/2014,31/12/2014,01/08/2014,31/12/2014,80,L8
66,SA-24-Y-A,CAATINGA,2015,01/01/2015,31/12/2015,01/08/2015,31/12/2015,80,L8
67,SA-24-Y-A,CAATINGA,2016,01/01/2016,31/12/2016,01/08/2016,31/12/2016,80,L8
68,SA-24-Y-A,CAATINGA,2017,01/01/2017,31/12/2017,01/08/2017,31/12/2017,80,L8
69,SA-24-Y-A,CAATINGA,2018,01/01/2018,31/12/2018,01/08/2018,31/12/2018,80,L8
70,SA-24-Y-A,CAATINGA,2019,01/01/2019,31/12/2019,01/08/2019,31/12/2019,80,L8
71,SA-24-Y-A,CAATINGA,2020,01/01/2020,31/12/2020,01/08/2020,31/12/2020,80,L8
72,SA-24-Y-B,CAATINGA,1985,01/01/1985,31/12/1985,01/08/1985,31/12/1985,80,L5
73,SA-24-Y-B,CAATINGA,1986,01/01/1986,31/12/1986,01/08/1986,31/12/1986,80,L5
74,SA-24-Y-B,CAATINGA,1987,01/01/1987,31/12/1987,01/08/1987,31/12/1987,80,L5
75,SA-24-Y-B,CAATINGA,1988,01/01/1988,31/12/1988,01/08/1988,31/12/1988,80,L5
76,SA-24-Y-B,CAATINGA,1989,01/01/1989,31/12/1989,01/08/1989,31/12/1989,80,L5
77,SA-24-Y-B,CAATINGA,1990,01/01/1990,31/12/1990,01/08/1990,31/12/1990,80,L5
78,SA-24-Y-B,CAATINGA,1991,01/01/1991,31/12/1991,01/08/1991,31/12/1991,80,L5
79,SA-24-Y-B,CAATINGA,1992,01/01/1992,31/12/1992,01/08/1992,31/12/1992,80,L5
80,SA-24-Y-B,CAATINGA,1993,01/01/1993,31/12/1993,01/08/1993,31/12/1993,80,L5
81,SA-24-Y-B,CAATINGA,1994,01/01/1994,31/12/1994,01/08/1994,31/12/1994,80,L5
82,SA-24-Y-B,CAATINGA,1995,01/01/1995,31/12/1995,01/08/1995,31/12/1995,80,L5
83,SA-24-Y-B,CAATINGA,1996,01/01/1996,31/12/1996,01/08/1996,31/12/1996,80,L5
84,SA-24-Y-B,CAATINGA,1997,01/01/1997,31/12/1997,01/08/1997,31/12/1997,80,L5
85,SA-24-Y-B,CAATINGA,1998,01/01/1998,31/12/1998,01/08/1998,31/12/1998,80,L5
86,SA-24-Y-B,CAATINGA,1999,01/01/1999,31/12/1999,01/08/1999,31/12/1999,80,L5
87,SA-24-Y-B,CAATINGA,2000,01/01/2000,31/12/2000,01/08/2000,31/12/2000,80,L7
88,SA-24-Y-B,CAATINGA,2001,01/01/2001,31/12/2001,01/08/2001,31/12/2001,80,L7
89,SA-24-Y-B,CAATINGA,2002,01/01/2002,31/12/2002,01/08/2002,31/12/2002,80,L7
90,SA-24-Y-B,CAATINGA,2003,01/01/2003,31/12/2003,01/08/2003,31/12/2003,80,L5
91,SA-24-Y-B,CAATINGA,2004,01/01/2004,31/12/2004,01/08/2004,31/12/2004,80,L5
92,SA-24-Y-B,CAATINGA,2005,01/01/2005,31/12/2005,01/08/2005,31/12/2005,80,L5
93,SA-24-Y-B,CAATINGA,2006,01/01/2006,31/12/2006,01/08/2006,31/12/2006,80,L5
94,SA-24-Y-B,CAATINGA,2007,01/01/2007,31/12/2007,01/08/2007,31/12/2007,80,L5
95,SA-24-Y-B,CAATINGA,2008,01/01/2008,31/12/2008,01/08/2008,31/12/2008,80,L5
96,SA-24-Y-B,CAATINGA,2009,01/01/2009,31/12/2009,01/08/2009,31/12/2009,80,L5
97,SA-24-Y-B,CAATINGA,2010,01/01/2010,31/12/2010,01/08/2010,31/12/2010,80,L5
98,SA-24-Y-B,CAATINGA,2011,01/01/2011,31/12/2011,01/08/2011,31/12/2011,80,L5
99,SA-24-Y-B,CAATINGA,2012,01/01/2012,31/12/2012,01/08/2012,31/12/2012,80,L7
100,SA-24-Y-B,CAATINGA,2013,01/01/2013,31/12/2013,01/08/2013,31/12/2013,80,L8
101,SA-24-Y-B,CAATINGA,2014,01/01/2014,31/12/2014,01/08/2014,31/12/2014,80,L8
102,SA-24-Y-B,CAATINGA,2015,01/01/2015,31/12/2015,01/08/2015,31/12/2015,80,L8
103,SA-24-Y-B,CAATINGA,2016,01/01/2016,31/12/2016,01/08/2016,31/12/2016,80,L8
104,SA-24-Y-B,CAATINGA,2017,01/01/2017,31/12/2017,01/08/2017,31/12/2017,80,L8
105,SA-24-Y-B,CAATINGA,2018,01/01/2018,31/12/2018,01/08/2018,31/12/2018,80,L8
106,SA-24-Y-B,CAATINGA,2019,01/01/2019,31/12/2019,01/08/2019,31/12/2019,80,L8
107,SA-24-Y-B,CAATINGA,2020,01/01/2020,31/12/2020,01/08/2020,31/12/2020,80,L8
108,SA-24-Y-C,CAATINGA,1985,01/01/1985,31/12/1985,01/08/1985,31/12/1985,80,L5
109,SA-24-Y-C,CAATINGA,1986,01/01/1986,31/12/1986,01/08/1986,31/12/1986,80,L5
110,SA-24-Y-C,CAATINGA,1987,01/01/1987,31/12/1987,01/08/1987,31/12/1987,80,L5
111,SA-24-Y-C,CAATINGA,1988,01/01/1988,31/12/1988,01/08/1988,31/12/1988,80,L5
112,SA-24-Y-C,CAATINGA,1989,01/01/1989,31/12/1989,01/08/1989,31/12/1989,80,L5
113,SA-24-Y-C,CAATINGA,1990,01/01/1990,31/12/1990,01/08/1990,31/12/1990,80,L5
114,SA-24-Y-C,CAATINGA,1991,01/01/1991,31/12/1991,01/08/1991,31/12/1991,80,L5
115,SA-24-Y-C,CAATINGA,1992,01/01/1992,31/12/1992,01/08/1992,31/12/1992,80,L5
116,SA-24-Y-C,CAATINGA,1993,01/01/1993,31/12/1993,01/08/1993,31/12/1993,80,L5
117,SA-24-Y-C,CAATINGA,1994,01/01/1994,31/12/1994,01/08/1994,31/12/1994,80,L5
118,SA-24-Y-C,CAATINGA,1995,01/01/1995,31/12/1995,01/08/1995,31/12/1995,80,L5
119,SA-24-Y-C,CAATINGA,1996,01/01/1996,31/12/1996,01/08/1996,31/12/1996,80,L5
120,SA-24-Y-C,CAATINGA,1997,01/01/1997,31/12/1997,01/08/1997,31/12/1997,80,L5
121,SA-24-Y-C,CAATINGA,1998,01/01/1998,31/12/1998,01/08/1998,31/12/1998,80,L5
122,SA-24-Y-C,CAATINGA,1999,01/01/1999,31/12/1999,01/08/1999,31/12/1999,80,L5
123,SA-24-Y-C,CAATINGA,2000,01/01/2000,31/12/2000,01/08/2000,31/12/2000,80,L7
124,SA-24-Y-C,CAATINGA,2001,01/01/2001,31/12/2001,01/08/2001,31/12/2001,80,L7
125,SA-24-Y-C,CAATINGA,2002,01/01/2002,31/12/2002,01/08/2002,31/12/2002,80,L7
126,SA-24-Y-C,CAATINGA,2003,01/01/2003,31/12/2003,01/08/2003,31/12/2003,80,L5
127,SA-24-Y-C,CAATINGA,2004,01/01/2004,31/12/2004,01/08/2004,31/12/2004,80,L5
128,SA-24-Y-C,CAATINGA,2005,01/01/2005,31/12/2005,01/08/2005,31/12/2005,80,L5
129,SA-24-Y-C,CAATINGA,2006,01/01/2006,31/12/2006,01/08/2006,31/12/2006,80,L5
130,SA-24-Y-C,CAATINGA,2007,01/01/2007,31/12/2007,01/08/2007,31/12/2007,80,L5
131,SA-24-Y-C,CAATINGA,2008,01/01/2008,31/12/2008,01/08/2008,31/12/2008,80,L5
132,SA-24-Y-C,CAATINGA,2009,01/01/2009,31/12/2009,01/08/2009,31/12/2009,80,L5
133,SA-24-Y-C,CAATINGA,2010,01/01/2010,31/12/2010,01/08/2010,31/12/2010,80,L5
134,SA-24-Y-C,CAATINGA,2011,01/01/2011,31/12/2011,01/08/2011,31/12/2011,80,L5
135,SA-24-Y-C,CAATINGA,2012,01/01/2012,31/12/2012,01/08/2012,31/12/2012,80,L7
136,SA-24-Y-C,CAATINGA,2013,01/01/2013,31/12/2013,01/08/2013,31/12/2013,80,L8
137,SA-24-Y-C,CAATINGA,2014,01/01/2014,31/12/2014,01/08/2014,31/12/2014,80,L8
138,SA-24-Y-C,CAATINGA,2015,01/01/2015,31/12/2015,01/08/2015,31/12/2015,80,L8
139,SA-24-Y-C,CAATINGA,2016,01/01/2016,31/12/2016,01/08/2016,31/12/2016,80,L8
140,SA-24-Y-C,CAATINGA,2017,01/01/2017,31/12/2017,01/08/2017,31/12/2017,80,L8
141,SA-24-Y-C,CAATINGA,2018,01/01/2018,31/12/2018,01/08/2018,31/12/2018,80,L8
142,SA-24-Y-C,CAATINGA,2019,01/01/2019,31/12/2019,01/08/2019,31/12/2019,80,L8
143,SA-24-Y-C,CAATINGA,2020,01/01/2020,31/12/2020,01/08/2020,31/12/2020,80,L8
144,SA-24-Y-D,CAATINGA,1985,01/01/1985,31/12/1985,01/08/1985,31/12/1985,80,L5
145,SA-24-Y-D,CAATINGA,1986,01/01/1986,31/12/1986,01/08/1986,31/12/1986,80,L5
146,SA-24-Y-D,CAATINGA,1987,01/01/1987,31/12/1987,01/08/1987,31/12/1987,80,L5
147,SA-24-Y-D,CAATINGA,1988,01/01/1988,31/12/1988,01/08/1988,31/12/1988,80,L5
148,SA-24-Y-D,CAATINGA,1989,01/01/1989,31/12/1989,01/08/1989,31/12/1989,80,L5
149,SA-24-Y-D,CAATINGA,1990,01/01/1990,31/12/1990,01/08/1990,31/12/1990,80,L5
150,SA-24-Y-D,CAATINGA,1991,01/01/1991,31/12/1991,01/08/1991,31/12/1991,80,L5
151,SA-24-Y-D,CAATINGA,1992,01/01/1992,31/12/1992,01/08/1992,31/12/1992,80,L5
152,SA-24-Y-D,CAATINGA,1993,01/01/1993,31/12/1993,01/08/1993,31/12/1993,80,L5
153,SA-24-Y-D,CAATINGA,1994,01/01/1994,31/12/1994,01/08/1994,31/12/1994,80,L5
154,SA-24-Y-D,CAATINGA,1995,01/01/1995,31/12/1995,01/08/1995,31/12/1995,80,L5
155,SA-24-Y-D,CAATINGA,1996,01/01/1996,31/12/1996,01/08/1996,31/12/1996,80,L5
156,SA-24-Y-D,CAATINGA,1997,01/01/1997,31/12/1997,01/08/1997,31/12/1997,80,L5
157,SA-24-Y-D,CAATINGA,1998,01/01/1998,31/12/1998,01/08/1998,31/12/1998,80,L5
158,SA-24-Y-D,CAATINGA,1999,01/01/1999,31/12/1999,01/08/1999,31/12/1999,80,L5
159,SA-24-Y-D,CAATINGA,2000,01/01/2000,31/12/2000,01/08/2000,31/12/2000,80,L7
160,SA-24-Y-D,CAATINGA,2001,01/01/2001,31/12/2001,01/08/2001,31/12/2001,80,L7
161,SA-24-Y-D,CAATINGA,2002,01/01/2002,31/12/2002,01/08/2002,31/12/2002,80,L7
162,SA-24-Y-D,CAATINGA,2003,01/01/2003,31/12/2003,01/08/2003,31/12/2003,80,L5
163,SA-24-Y-D,CAATINGA,2004,01/01/2004,31/12/2004,01/08/2004,31/12/2004,80,L5
164,SA-24-Y-D,CAATINGA,2005,01/01/2005,31/12/2005,01/08/2005,31/12/2005,80,L5
165,SA-24-Y-D,CAATINGA,2006,01/01/2006,31/12/2006,01/08/2006,31/12/2006,80,L5
166,SA-24-Y-D,CAATINGA,2007,01/01/2007,31/12/2007,01/08/2007,31/12/2007,80,L5
167,SA-24-Y-D,CAATINGA,2008,01/01/2008,31/12/2008,01/08/2008,31/12/2008,80,L5
168,SA-24-Y-D,CAATINGA,2009,01/01/2009,31/12/2009,01/08/2009,31/12/2009,80,L5
169,SA-24-Y-D,CAATINGA,2010,01/01/2010,31/12/2010,01/08/2010,31/12/2010,80,L5
170,SA-24-Y-D,CAATINGA,2011,01/01/2011,31/12/2011,01/08/2011,31/12/2011,80,L5
171,SA-24-Y-D,CAATINGA,2012,01/01/2012,31/12/2012,01/08/2012,31/12/2012,80,L7
172,SA-24-Y-D,CAATINGA,2013,01/01/2013,31/12/2013,01/08/2013,31/12/2013,80,L8
173,SA-24-Y-D,CAATINGA,2014,01/01/2014,31/12/2014,01/08/2014,31/12/2014,80,L8
174,SA-24-Y-D,CAATINGA,2015,01/01/2015,31/12/2015,01/08/2015,31/12/2015,80,L8
175,SA-24-Y-D,CAATINGA,2016,01/01/2016,31/12/2016,01/08/2016,31/12/2016,80,L8
176,SA-24-Y-D,CAATINGA,2017,01/01/2017,31/12/2017,01/08/2017,31/12/2017,80,L8
177,SA-24-Y-D,CAATINGA,2018,01/01/2018,31/12/2018,01/08/2018,31/12/2018,80,L8
178,SA-24-Y-D,CAATINGA,2019,01/01/2019,31/12/2019,01/08/2019,31/12/2019,80,L8
179,SA-24-Y-D,CAATINGA,2020,01/01/2020,31/12/2020,01/08/2020,31/12/2020,80,L8
180,SA-24-Z-C,CAATINGA,1985,01/01/1985,31/12/1985,01/08/1985,31/12/1985,80,L5
181,SA-24-Z-C,CAATINGA,1986,01/01/1986,31/12/1986,01/08/1986,31/12/1986,80,L5
182,SA-24-Z-C,CAATINGA,1987,01/01/1987,31/12/1987,01/08/1987,31/12/1987,80,L5
183,SA-24-Z-C,CAATINGA,1988,01/01/1988,31/12/1988,01/08/1988,31/12/1988,80,L5
184,SA-24-Z-C,CAATINGA,1989,01/01/1989,31/12/1989,01/08/1989,31/12/1989,80,L5
185,SA-24-Z-C,CAATINGA,1990,01/01/1990,31/12/1990,01/08/1990,31/12/1990,80,L5
186,SA-24-Z-C,CAATINGA,1991,01/01/1991,31/12/1991,01/08/1991,31/12/1991,80,L5
187,SA-24-Z-C,CAATINGA,1992,01/01/1992,31/12/1992,01/08/1992,31/12/1992,80,L5
188,SA-24-Z-C,CAATINGA,1993,01/01/1993,31/12/1993,01/08/1993,31/12/1993,80,L5
189,SA-24-Z-C,CAATINGA,1994,01/01/1994,31/12/1994,01/08/1994,31/12/1994,80,L5
190,SA-24-Z-C,CAATINGA,1995,01/01/1995,31/12/1995,01/08/1995,31/12/1995,80,L5
191,SA-24-Z-C,CAATINGA,1996,01/01/1996,31/12/1996,01/08/1996,31/12/1996,80,L5
192,SA-24-Z-C,CAATINGA,1997,01/01/1997,31/12/1997,01/08/1997,31/12/1997,80,L5
193,SA-24-Z-C,CAATINGA,1998,01/01/1998,31/12/1998,01/08/1998,31/12/1998,80,L5
194,SA-24-Z-C,CAATINGA,1999,01/01/1999,31/12/1999,01/08/1999,31/12/1999,80,L5
195,SA-24-Z-C,CAATINGA,2000,01/01/2000,31/12/2000,01/08/2000,31/12/2000,80,L7
196,SA-24-Z-C,CAATINGA,2001,01/01/2001,31/12/2001,01/08/2001,31/12/2001,80,L7
197,SA-24-Z-C,CAATINGA,2002,01/01/2002,31/12/2002,01/08/2002,31/12/2002,80,L7
198,SA-24-Z-C,CAATINGA,2003,01/01/2003,31/12/2003,01/08/2003,31/12/2003,80,L5
199,SA-24-Z-C,CAATINGA,2004,01/01/2004,31/12/2004,01/08/2004,31/12/2004,80,L5
200,SA-24-Z-C,CAATINGA,2005,01/01/2005,31/12/2005,01/08/2005,31/12/2005,80,L5
201,SA-24-Z-C,CAATINGA,2006,01/01/2006,31/12/2006,01/08/2006,31/12/2006,80,L5
202,SA-24-Z-C,CAATINGA,2007,01/01/2007,31/12/2007,01/08/2007,31/12/2007,80,L5
203,SA-24-Z-C,CAATINGA,2008,01/01/2008,31/12/2008,01/08/2008,31/12/2008,80,L5
204,SA-24-Z-C,CAATINGA,2009,01/01/2009,31/12/2009,01/08/2009,31/12/2009,80,L5
205,SA-24-Z-C,CAATINGA,2010,01/01/2010,31/12/2010,01/08/2010,31/12/2010,80,L5
206,SA-24-Z-C,CAATINGA,2011,01/01/2011,31/12/2011,01/08/2011,31/12/2011,80,L5
207,SA-24-Z-C,CAATINGA,2012,01/01/2012,31/12/2012,01/08/2012,31/12/2012,80,L7
208,SA-24-Z-C,CAATINGA,2013,01/01/2013,31/12/2013,01/08/2013,31/12/2013,80,L8
209,SA-24-Z-C,CAATINGA,2014,01/01/2014,31/12/2014,01/08/2014,31/12/2014,80,L8
210,SA-24-Z-C,CAATINGA,2015,01/01/2015,31/12/2015,01/08/2015,31/12/2015,80,L8
211,SA-24-Z-C,CAATINGA,2016,01/01/2016,31/12/2016,01/08/2016,31/12/2016,80,L8
212,SA-24-Z-C,CAATINGA,2017,01/01/2017,31/12/2017,01/08/2017,31/12/2017,80,L8
213,SA-24-Z-C,CAATINGA,2018,01/01/2018,31/12/2018,01/08/2018,31/12/2018,80,L8
214,SA-24-Z-C,CAATINGA,2019,01/01/2019,31/12/2019,01/08/2019,31/12/2019,80,L8
215,SA-24-Z-C,CAATINGA,2020,01/01/2020,31/12/2020,01/08/2020,31/12/2020,80,L8
216,SB-23-X-B,CAATINGA,1985,01/01/1985,31/12/1985,01/08/1985,31/12/1985,80,L5
217,SB-23-X-B,CAATINGA,1986,01/01/1986,31/12/1986,01/08/1986,31/12/1986,80,L5
218,SB-23-X-B,CAATINGA,1987,01/01/1987,31/12/1987,01/08/1987,31/12/1987,80,L5
219,SB-23-X-B,CAATINGA,1988,01/01/1988,31/12/1988,01/08/1988,31/12/1988,80,L5
220,SB-23-X-B,CAATINGA,1989,01/01/1989,31/12/1989,01/08/1989,31/12/1989,80,L5
221,SB-23-X-B,CAATINGA,1990,01/01/1990,31/12/1990,01/08/1990,31/12/1990,80,L5
222,SB-23-X-B,CAATINGA,1991,01/01/1991,31/12/1991,01/08/1991,31/12/1991,80,L5
223,SB-23-X-B,CAATINGA,1992,01/01/1992,31/12/1992,01/08/1992,31/12/1992,80,L5
224,SB-23-X-B,CAATINGA,1993,01/01/1993,31/12/1993,01/08/1993,31/12/1993,80,L5
225,SB-23-X-B,CAATINGA,1994,01/01/1994,31/12/1994,01/08/1994,31/12/1994,80,L5
226,SB-23-X-B,CAATINGA,1995,01/01/1995,31/12/1995,01/08/1995,31/12/1995,80,L5
227,SB-23-X-B,CAATINGA,1996,01/01/1996,31/12/1996,01/08/1996,31/12/1996,80,L5
228,SB-23-X-B,CAATINGA,1997,01/01/1997,31/12/1997,01/08/1997,31/12/1997,80,L5
229,SB-23-X-B,CAATINGA,1998,01/01/1998,31/12/1998,01/08/1998,31/12/1998,80,L5
230,SB-23-X-B,CAATINGA,1999,01/01/1999,31/12/1999,01/08/1999,31/12/1999,80,L5
231,SB-23-X-B,CAATINGA,2000,01/01/2000,31/12/2000,01/08/2000,31/12/2000,80,L7
232,SB-23-X-B,CAATINGA,2001,01/01/2001,31/12/2001,01/08/2001,31/12/2001,80,L7
233,SB-23-X-B,CAATINGA,2002,01/01/2002,31/12/2002,01/08/2002,31/12/2002,80,L7
234,SB-23-X-B,CAATINGA,2003,01/01/2003,31/12/2003,01/08/2003,31/12/2003,80,L5
235,SB-23-X-B,CAATINGA,2004,01/01/2004,31/12/2004,01/08/2004,31/12/2004,80,L5
236,SB-23-X-B,CAATINGA,2005,01/01/2005,31/12/2005,01/08/2005,31/12/2005,80,L5
237,SB-23-X-B,CAATINGA,2006,01/01/2006,31/12/2006,01/08/2006,31/12/2006,80,L5
238,SB-23-X-B,CAATINGA,2007,01/01/2007,31/12/2007,01/08/2007,31/12/2007,80,L5
239,SB-23-X-B,CAATINGA,2008,01/01/2008,31/12/2008,01/08/2008,31/12/2008,80,L5
240,SB-23-X-B,CAATINGA,2009,01/01/2009,31/12/2009,01/08/2009,31/12/2009,80,L5
241,SB-23-X-B,CAATINGA,2010,01/01/2010,31/12/2010,01/08/2010,31/12/2010,80,L5
242,SB-23-X-B,CAATINGA,2011,01/01/2011,31/12/2011,01/08/2011,31/12/2011,80,L5
243,SB-23-X-B,CAATINGA,2012,01/01/2012,31/12/2012,01/08/2012,31/12/2012,80,L7
244,SB-23-X-B,CAATINGA,2013,01/01/2013,31/12/2013,01/08/2013,31/12/2013,80,L8
245,SB-23-X-B,CAATINGA,2014,01/01/2014,31/12/2014,01/08/2014,31/12/2014,80,L8
246,SB-23-X-B,CAATINGA,2015,01/01/2015,31/12/2015,01/08/2015,31/12/2015,80,L8
247,SB-23-X-B,CAATINGA,2016,01/01/2016,31/12/2016,01/08/2016,31/12/2016,80,L8
248,SB-23-X-B,CAATINGA,2017,01/01/2017,31/12/2017,01/08/2017,31/12/2017,80,L8
249,SB-23-X-B,CAATINGA,2018,01/01/2018,31/12/2018,01/08/2018,31/12/2018,80,L8
250,SB-23-X-B,CAATINGA,2019,01/01/2019,31/12/2019,01/08/2019,31/12/2019,80,L8
251,SB-23-X-B,CAATINGA,2020,01/01/2020,31/12/2020,01/08/2020,31/12/2020,80,L8
252,SB-23-X-D,CAATINGA,1985,01/01/1985,31/12/1985,01/08/1985,31/12/1985,80,L5
