GRID_NAME,BIOME,YEAR,T0_P,T1_P,T0_S,T1_S,CC,SATELLITE
SA-24-Y-B,CAATINGA,1989,1989-01-01,1989-07-31,1989-08-01,1989-12-31,80,L5
SA-24-Y-B,CAATINGA,1990,1990-01-01,1990-07-31,1990-08-01,1990-12-31,80,L5
SA-24-Y-B,CAATINGA,1991,1991-01-01,1991-07-31,1991-08-01,1991-12-31,80,L5
SA-24-Y-B,CAATINGA,1992,1992-01-01,1992-07-31,1992-08-01,1992-12-31,80,L5
SA-24-Y-B,CAATINGA,1993,1993-01-01,1993-07-31,1993-08-01,1993-12-31,80,L5
SA-24-Y-B,CAATINGA,1994,1994-01-01,1994-07-31,1994-08-01,1994-12-31,80,L5
SA-24-Y-B,CAATINGA,1995,1995-01-01,1995-07-31,1995-08-01,1995-12-31,80,L5
SA-24-Y-B,CAATINGA,1996,1996-01-01,1996-07-31,1996-08-01,1996-12-31,80,L5
SA-24-Y-B,CAATINGA,1997,1997-01-01,1997-07-31,1997-08-01,1997-12-31,80,L5
SA-24-Y-B,CAATINGA,1998,1998-01-01,1998-07-31,1998-08-01,1998-12-31,80,L5
SA-24-Y-B,CAATINGA,1999,1999-01-01,1999-07-31,1999-08-01,1999-12-31,80,L5
SA-24-Y-B,CAATINGA,2000,2000-01-01,2000-07-31,2000-08-01,2000-12-31,80,LX
SA-24-Y-B,CAATINGA,2001,2001-01-01,2001-07-31,2001-08-01,2001-12-31,80,LX
SA-24-Y-B,CAATINGA,2002,2002-01-01,2002-07-31,2002-08-01,2002-12-31,80,LX
SA-24-Y-B,CAATINGA,2003,2003-01-01,2003-07-31,2003-08-01,2003-12-31,80,L5
SA-24-Y-B,CAATINGA,2004,2004-01-01,2004-07-31,2004-08-01,2004-12-31,80,L5
SA-24-Y-B,CAATINGA,2005,2005-01-01,2005-07-31,2005-08-01,2005-12-31,80,L5
SA-24-Y-B,CAATINGA,2006,2006-01-01,2006-07-31,2006-08-01,2006-12-31,80,L5
SA-24-Y-B,CAATINGA,2007,2007-01-01,2007-07-31,2007-08-01,2007-12-31,80,L5
SA-24-Y-B,CAATINGA,2008,2008-01-01,2008-07-31,2008-08-01,2008-12-31,80,L5
SA-24-Y-B,CAATINGA,2009,2009-01-01,2009-07-31,2009-08-01,2009-12-31,80,L5
SA-24-Y-B,CAATINGA,2010,2010-01-01,2010-07-31,2010-08-01,2010-12-31,80,L5
SA-24-Y-B,CAATINGA,2011,2011-01-01,2011-07-31,2011-08-01,2011-12-31,80,L5
SA-24-Y-B,CAATINGA,2012,2012-01-01,2012-07-31,2012-08-01,2012-12-31,80,L7
SA-24-Y-B,CAATINGA,2013,2013-01-01,2013-07-31,2013-08-01,2013-12-31,80,L8
SA-24-Y-B,CAATINGA,2014,2014-01-01,2014-07-31,2014-08-01,2014-12-31,80,L8
SA-24-Y-B,CAATINGA,2015,2015-01-01,2015-07-31,2015-08-01,2015-12-31,80,L8
SA-24-Y-B,CAATINGA,2016,2016-01-01,2016-07-31,2016-08-01,2016-12-31,80,L8
SA-24-Y-B,CAATINGA,2017,2017-01-01,2017-07-31,2017-08-01,2017-12-31,80,L8
SA-24-Y-C,CAATINGA,1985,1985-01-01,1985-07-31,1985-08-01,1985-12-31,80,L5
SA-24-Y-C,CAATINGA,1986,1986-01-01,1986-07-31,1986-08-01,1986-12-31,80,L5
SA-24-Y-C,CAATINGA,1987,1987-01-01,1987-07-31,1987-08-01,1987-12-31,80,L5
SA-24-Y-C,CAATINGA,1988,1988-01-01,1988-07-31,1988-08-01,1988-12-31,80,L5
SA-24-Y-C,CAATINGA,1989,1989-01-01,1989-07-31,1989-08-01,1989-12-31,80,L5
SA-24-Y-C,CAATINGA,1990,1990-01-01,1990-07-31,1990-08-01,1990-12-31,80,L5
SA-24-Y-C,CAATINGA,1991,1991-01-01,1991-07-31,1991-08-01,1991-12-31,80,L5
SA-24-Y-C,CAATINGA,1992,1992-01-01,1992-07-31,1992-08-01,1992-12-31,80,L5
SA-24-Y-C,CAATINGA,1993,1993-01-01,1993-07-31,1993-08-01,1993-12-31,80,L5
SA-24-Y-C,CAATINGA,1994,1994-01-01,1994-07-31,1994-08-01,1994-12-31,80,L5
SA-24-Y-C,CAATINGA,1995,1995-01-01,1995-07-31,1995-08-01,1995-12-31,80,L5
SA-24-Y-C,CAATINGA,1996,1996-01-01,1996-07-31,1996-08-01,1996-12-31,80,L5
SA-24-Y-C,CAATINGA,1997,1997-01-01,1997-07-31,1997-08-01,1997-12-31,80,L5
SA-24-Y-C,CAATINGA,1998,1998-01-01,1998-07-31,1998-08-01,1998-12-31,80,L5
SA-24-Y-C,CAATINGA,1999,1999-01-01,1999-07-31,1999-08-01,1999-12-31,80,L5
SA-24-Y-C,CAATINGA,2000,2000-01-01,2000-07-31,2000-08-01,2000-12-31,80,LX
SA-24-Y-C,CAATINGA,2001,2001-01-01,2001-07-31,2001-08-01,2001-12-31,80,LX
SA-24-Y-C,CAATINGA,2002,2002-01-01,2002-07-31,2002-08-01,2002-12-31,80,LX
SA-24-Y-C,CAATINGA,2003,2003-01-01,2003-07-31,2003-08-01,2003-12-31,80,L5
SA-24-Y-C,CAATINGA,2004,2004-01-01,2004-07-31,2004-08-01,2004-12-31,80,L5
SA-24-Y-C,CAATINGA,2005,2005-01-01,2005-07-31,2005-08-01,2005-12-31,80,L5
SA-24-Y-C,CAATINGA,2006,2006-01-01,2006-07-31,2006-08-01,2006-12-31,80,L5
SA-24-Y-C,CAATINGA,2007,2007-01-01,2007-07-31,2007-08-01,2007-12-31,80,L5
SA-24-Y-C,CAATINGA,2008,2008-01-01,2008-07-31,2008-08-01,2008-12-31,80,L5
SA-24-Y-C,CAATINGA,2009,2009-01-01,2009-07-31,2009-08-01,2009-12-31,80,L5
SA-24-Y-C,CAATINGA,2010,2010-01-01,2010-07-31,2010-08-01,2010-12-31,80,L5
SA-24-Y-C,CAATINGA,2011,2011-01-01,2011-07-31,2011-08-01,2011-12-31,80,L5
SA-24-Y-C,CAATINGA,2012,2012-01-01,2012-07-31,2012-08-01,2012-12-31,80,L7
SA-24-Y-C,CAATINGA,2013,2013-01-01,2013-07-31,2013-08-01,2013-12-31,80,L8
SA-24-Y-C,CAATINGA,2014,2014-01-01,2014-07-31,2014-08-01,2014-12-31,80,L8
SA-24-Y-C,CAATINGA,2015,2015-01-01,2015-07-31,2015-08-01,2015-12-31,80,L8
SA-24-Y-C,CAATINGA,2016,2016-01-01,2016-07-31,2016-08-01,2016-12-31,80,L8
SA-24-Y-C,CAATINGA,2017,2017-01-01,2017-07-31,2017-08-01,2017-12-31,80,L8
SA-24-Y-D,CAATINGA,1985,1985-01-01,1985-07-31,1985-08-01,1985-12-31,80,L5
SA-24-Y-D,CAATINGA,1986,1986-01-01,1986-07-31,1986-08-01,1986-12-31,80,L5
SA-24-Y-D,CAATINGA,1987,1987-01-01,1987-07-31,1987-08-01,1987-12-31,80,L5
SA-24-Y-D,CAATINGA,1988,1988-01-01,1988-07-31,1988-08-01,1988-12-31,80,L5
SA-24-Y-D,CAATINGA,1989,1989-01-01,1989-07-31,1989-08-01,1989-12-31,80,L5
SA-24-Y-D,CAATINGA,1990,1990-01-01,1990-07-31,1990-08-01,1990-12-31,80,L5
SA-24-Y-D,CAATINGA,1991,1991-01-01,1991-07-31,1991-08-01,1991-12-31,80,L5
SA-24-Y-D,CAATINGA,1992,1992-01-01,1992-07-31,1992-08-01,1992-12-31,80,L5
SA-24-Y-D,CAATINGA,1993,1993-01-01,1993-07-31,1993-08-01,1993-12-31,80,L5
SA-24-Y-D,CAATINGA,1994,1994-01-01,1994-07-31,1994-08-01,1994-12-31,80,L5
SA-24-Y-D,CAATINGA,1995,1995-01-01,1995-07-31,1995-08-01,1995-12-31,80,L5
SA-24-Y-D,CAATINGA,1996,1996-01-01,1996-07-31,1996-08-01,1996-12-31,80,L5
SA-24-Y-D,CAATINGA,1997,1997-01-01,1997-07-31,1997-08-01,1997-12-31,80,L5
SA-24-Y-D,CAATINGA,1998,1998-01-01,1998-07-31,1998-08-01,1998-12-31,80,L5
SA-24-Y-D,CAATINGA,1999,1999-01-01,1999-07-31,1999-08-01,1999-12-31,80,L5
SA-24-Y-D,CAATINGA,2000,2000-01-01,2000-07-31,2000-08-01,2000-12-31,80,LX
SA-24-Y-D,CAATINGA,2001,2001-01-01,2001-07-31,2001-08-01,2001-12-31,80,LX
SA-24-Y-D,CAATINGA,2002,2002-01-01,2002-07-31,2002-08-01,2002-12-31,80,LX
SA-24-Y-D,CAATINGA,2003,2003-01-01,2003-07-31,2003-08-01,2003-12-31,80,L5
SA-24-Y-D,CAATINGA,2004,2004-01-01,2004-07-31,2004-08-01,2004-12-31,80,L5
SA-24-Y-D,CAATINGA,2005,2005-01-01,2005-07-31,2005-08-01,2005-12-31,80,L5
SA-24-Y-D,CAATINGA,2006,2006-01-01,2006-07-31,2006-08-01,2006-12-31,80,L5
SA-24-Y-D,CAATINGA,2007,2007-01-01,2007-07-31,2007-08-01,2007-12-31,80,L5
SA-24-Y-D,CAATINGA,2008,2008-01-01,2008-07-31,2008-08-01,2008-12-31,80,L5
SA-24-Y-D,CAATINGA,2009,2009-01-01,2009-07-31,2009-08-01,2009-12-31,80,L5
SA-24-Y-D,CAATINGA,2010,2010-01-01,2010-07-31,2010-08-01,2010-12-31,80,L5
SA-24-Y-D,CAATINGA,2011,2011-01-01,2011-07-31,2011-08-01,2011-12-31,80,L5
SA-24-Y-D,CAATINGA,2012,2012-01-01,2012-07-31,2012-08-01,2012-12-31,80,L7
SA-24-Y-D,CAATINGA,2013,2013-01-01,2013-07-31,2013-08-01,2013-12-31,80,L8
SA-24-Y-D,CAATINGA,2014,2014-01-01,2014-07-31,2014-08-01,2014-12-31,80,L8
SA-24-Y-D,CAATINGA,2015,2015-01-01,2015-07-31,2015-08-01,2015-12-31,80,L8
SA-24-Y-D,CAATINGA,2016,2016-01-01,2016-07-31,2016-08-01,2016-12-31,80,L8
SA-24-Y-D,CAATINGA,2017,2017-01-01,2017-07-31,2017-08-01,2017-12-31,80,L8
SA-24-Z-C,CAATINGA,1985,1985-01-01,1985-07-31,1985-08-01,1985-12-31,80,L5
SA-24-Z-C,CAATINGA,1986,1986-01-01,1986-07-31,1986-08-01,1986-12-31,80,L5
SA-24-Z-C,CAATINGA,1987,1987-01-01,1987-07-31,1987-08-01,1987-12-31,80,L5
SA-24-Z-C,CAATINGA,1988,1988-01-01,1988-07-31,1988-08-01,1988-12-31,80,L5
SA-24-Z-C,CAATINGA,1989,1989-01-01,1989-07-31,1989-08-01,1989-12-31,80,L5
SA-24-Z-C,CAATINGA,1990,1990-01-01,1990-07-31,1990-08-01,1990-12-31,80,L5
SA-24-Z-C,CAATINGA,1991,1991-01-01,1991-07-31,1991-08-01,1991-12-31,80,L5
SA-24-Z-C,CAATINGA,1992,1992-01-01,1992-07-31,1992-08-01,1992-12-31,80,L5
SA-24-Z-C,CAATINGA,1993,1993-01-01,1993-07-31,1993-08-01,1993-12-31,80,L5
SA-24-Z-C,CAATINGA,1994,1994-01-01,1994-07-31,1994-08-01,1994-12-31,80,L5
SA-24-Z-C,CAATINGA,1995,1995-01-01,1995-07-31,1995-08-01,1995-12-31,80,L5
SA-24-Z-C,CAATINGA,1996,1996-01-01,1996-07-31,1996-08-01,1996-12-31,80,L5
SA-24-Z-C,CAATINGA,1997,1997-01-01,1997-07-31,1997-08-01,1997-12-31,80,L5
SA-24-Z-C,CAATINGA,1998,1998-01-01,1998-07-31,1998-08-01,1998-12-31,80,L5
SA-24-Z-C,CAATINGA,1999,1999-01-01,1999-07-31,1999-08-01,1999-12-31,80,L5
SA-24-Z-C,CAATINGA,2000,2000-01-01,2000-07-31,2000-08-01,2000-12-31,80,LX
SA-24-Z-C,CAATINGA,2001,2001-01-01,2001-07-31,2001-08-01,2001-12-31,80,LX
SA-24-Z-C,CAATINGA,2002,2002-01-01,2002-07-31,2002-08-01,2002-12-31,80,LX
SA-24-Z-C,CAATINGA,2003,2003-01-01,2003-07-31,2003-08-01,2003-12-31,80,L5
SA-24-Z-C,CAATINGA,2004,2004-01-01,2004-07-31,2004-08-01,2004-12-31,80,L5
SA-24-Z-C,CAATINGA,2005,2005-01-01,2005-07-31,2005-08-01,2005-12-31,80,L5
SA-24-Z-C,CAATINGA,2006,2006-01-01,2006-07-31,2006-08-01,2006-12-31,80,L5
SA-24-Z-C,CAATINGA,2007,2007-01-01,2007-07-31,2007-08-01,2007-12-31,80,L5
SA-24-Z-C,CAATINGA,2008,2008-01-01,2008-07-31,2008-08-01,2008-12-31,80,L5
SA-24-Z-C,CAATINGA,2009,2009-01-01,2009-07-31,2009-08-01,2009-12-31,80,L5
SA-24-Z-C,CAATINGA,2010,2010-01-01,2010-07-31,2010-08-01,2010-12-31,80,L5
SA-24-Z-C,CAATINGA,2011,2011-01-01,2011-07-31,2011-08-01,2011-12-31,80,L5
SA-24-Z-C,CAATINGA,2012,2012-01-01,2012-07-31,2012-08-01,2012-12-31,80,L7
SA-24-Z-C,CAATINGA,2013,2013-01-01,2013-07-31,2013-08-01,2013-12-31,80,L8
SA-24-Z-C,CAATINGA,2014,2014-01-01,2014-07-31,2014-08-01,2014-12-31,80,L8
SA-24-Z-C,CAATINGA,2015,2015-01-01,2015-07-31,2015-08-01,2015-12-31,80,L8
SA-24-Z-C,CAATINGA,2016,2016-01-01,2016-07-31,2016-08-01,2016-12-31,80,L8
SA-24-Z-C,CAATINGA,2017,2017-01-01,2017-07-31,2017-08-01,2017-12-31,80,L8
SB-23-X-B,CAATINGA,1985,1985-01-01,1985-07-31,1985-08-01,1985-12-31,80,L5
SB-23-X-B,CAATINGA,1986,1986-01-01,1986-07-31,1986-08-01,1986-12-31,80,L5
SB-23-X-B,CAATINGA,1987,1987-01-01,1987-07-31,1987-08-01,1987-12-31,80,L5
SB-23-X-B,CAATINGA,1988,1988-01-01,1988-07-31,1988-08-01,1988-12-31,80,L5
SB-23-X-B,CAATINGA,1989,1989-01-01,1989-07-31,1989-08-01,1989-12-31,80,L5
SB-23-X-B,CAATINGA,1990,1990-01-01,1990-07-31,1990-08-01,1990-12-31,80,L5
SB-23-X-B,CAATINGA,1991,1991-01-01,1991-07-31,1991-08-01,1991-12-31,80,L5
SB-23-X-B,CAATINGA,1992,1992-01-01,1992-07-31,1992-08-01,1992-12-31,80,L5
SB-23-X-B,CAATINGA,1993,1993-01-01,1993-07-31,1993-08-01,1993-12-31,80,L5
SB-23-X-B,CAATINGA,1994,1994-01-01,1994-07-31,1994-08-01,1994-12-31,80,L5
SB-23-X-B,CAATINGA,1995,1995-01-01,1995-07-31,1995-08-01,1995-12-31,80,L5
SB-23-X-B,CAATINGA,1996,1996-01-01,1996-07-31,1996-08-01,1996-12-31,80,L5
SB-23-X-B,CAATINGA,1997,1997-01-01,1997-07-31,1997-08-01,1997-12-31,80,L5
SB-23-X-B,CAATINGA,1998,1998-01-01,1998-07-31,1998-08-01,1998-12-31,80,L5
SB-23-X-B,CAATINGA,1999,1999-01-01,1999-07-31,1999-08-01,1999-12-31,80,L5
SB-23-X-B,CAATINGA,2000,2000-01-01,2000-07-31,2000-08-01,2000-12-31,80,LX
SB-23-X-B,CAATINGA,2001,2001-01-01,2001-07-31,2001-08-01,2001-12-31,80,LX
SB-23-X-B,CAATINGA,2002,2002-01-01,2002-07-31,2002-08-01,2002-12-31,80,LX
SB-23-X-B,CAATINGA,2003,2003-01-01,2003-07-31,2003-08-01,2003-12-31,80,L5
SB-23-X-B,CAATINGA,2004,2004-01-01,2004-07-31,2004-08-01,2004-12-31,80,L5
SB-23-X-B,CAATINGA,2005,2005-01-01,2005-07-31,2005-08-01,2005-12-31,80,L5
SB-23-X-B,CAATINGA,2006,2006-01-01,2006-07-31,2006-08-01,2006-12-31,80,L5
SB-23-X-B,CAATINGA,2007,2007-01-01,2007-07-31,2007-08-01,2007-12-31,80,L5
SB-23-X-B,CAATINGA,2008,2008-01-01,2008-07-31,2008-08-01,2008-12-31,80,L5
SB-23-X-B,CAATINGA,2009,2009-01-01,2009-07-31,2009-08-01,2009-12-31,80,L5
SB-23-X-B,CAATINGA,2010,2010-01-01,2010-07-31,2010-08-01,2010-12-31,80,L5
SB-23-X-B,CAATINGA,2011,2011-01-01,2011-07-31,2011-08-01,2011-12-31,80,L5
SB-23-X-B,CAATINGA,2012,2012-01-01,2012-07-31,2012-08-01,2012-12-31,80,L7
SB-23-X-B,CAATINGA,2013,2013-01-01,2013-07-31,2013-08-01,2013-12-31,80,L8
SB-23-X-B,CAATINGA,2014,2014-01-01,2014-07-31,2014-08-01,2014-12-31,80,L8
SB-23-X-B,CAATINGA,2015,2015-01-01,2015-07-31,2015-08-01,2015-12-31,80,L8
SB-23-X-B,CAATINGA,2016,2016-01-01,2016-07-31,2016-08-01,2016-12-31,80,L8
SB-23-X-B,CAATINGA,2017,2017-01-01,2017-07-31,2017-08-01,2017-12-31,80,L8
SB-23-X-D,CAATINGA,1985,1985-01-01,1985-07-31,1985-08-01,1985-12-31,80,L5
SB-23-X-D,CAATINGA,1986,1986-01-01,1986-07-31,1986-08-01,1986-12-31,80,L5
SB-23-X-D,CAATINGA,1987,1987-01-01,1987-07-31,1987-08-01,1987-12-31,80,L5
SB-23-X-D,CAATINGA,1988,1988-01-01,1988-07-31,1988-08-01,1988-12-31,80,L5
SB-23-X-D,CAATINGA,1989,1989-01-01,1989-07-31,1989-08-01,1989-12-31,80,L5
SB-23-X-D,CAATINGA,1990,1990-01-01,1990-07-31,1990-08-01,1990-12-31,80,L5
SB-23-X-D,CAATINGA,1991,1991-01-01,1991-07-31,1991-08-01,1991-12-31,80,L5
SB-23-X-D,CAATINGA,1992,1992-01-01,1992-07-31,1992-08-01,1992-12-31,80,L5
SB-23-X-D,CAATINGA,1993,1993-01-01,1993-07-31,1993-08-01,1993-12-31,80,L5
SB-23-X-D,CAATINGA,1994,1994-01-01,1994-07-31,1994-08-01,1994-12-31,80,L5
SB-23-X-D,CAATINGA,1995,1995-01-01,1995-07-31,1995-08-01,1995-12-31,80,L5
SB-23-X-D,CAATINGA,1996,1996-01-01,1996-07-31,1996-08-01,1996-12-31,80,L5
SB-23-X-D,CAATINGA,1997,1997-01-01,1997-07-31,1997-08-01,1997-12-31,80,L5
SB-23-X-D,CAATINGA,1998,1998-01-01,1998-07-31,1998-08-01,1998-12-31,80,L5
SB-23-X-D,CAATINGA,1999,1999-01-01,1999-07-31,1999-08-01,1999-12-31,80,L5
SB-23-X-D,CAATINGA,2000,2000-01-01,2000-07-31,2000-08-01,2000-12-31,80,LX
SB-23-X-D,CAATINGA,2001,2001-01-01,2001-07-31,2001-08-01,2001-12-31,80,LX
SB-23-X-D,CAATINGA,2002,2002-01-01,2002-07-31,2002-08-01,2002-12-31,80,LX
SB-23-X-D,CAATINGA,2003,2003-01-01,2003-07-31,2003-08-01,2003-12-31,80,L5
SB-23-X-D,CAATINGA,2004,2004-01-01,2004-07-31,2004-08-01,2004-12-31,80,L5
SB-23-X-D,CAATINGA,2005,2005-01-01,2005-07-31,2005-08-01,2005-12-31,80,L5
SB-23-X-D,CAATINGA,2006,2006-01-01,2006-07-31,2006-08-01,2006-12-31,80,L5
SB-23-X-D,CAATINGA,2007,2007-01-01,2007-07-31,2007-08-01,2007-12-31,80,L5
SB-23-X-D,CAATINGA,2008,2008-01-01,2008-07-31,2008-08-01,2008-12-31,80,L5
SB-23-X-D,CAATINGA,2009,2009-01-01,2009-07-31,2009-08-01,2009-12-31,80,L5
SB-23-X-D,CAATINGA,2010,2010-01-01,2010-07-31,2010-08-01,2010-12-31,80,L5
SB-23-X-D,CAATINGA,2011,2011-01-01,2011-07-31,2011-08-01,2011-12-31,80,L5
SB-23-X-D,CAATINGA,2012,2012-01-01,2012-07-31,2012-08-01,2012-12-31,80,L7
SB-23-X-D,CAATINGA,2013,2013-01-01,2013-07-31,2013-08-01,2013-12-31,80,L8
SB-23-X-D,CAATINGA,2014,2014-01-01,2014-07-31,2014-08-01,2014-12-31,80,L8
SB-23-X-D,CAATINGA,2015,2015-01-01,2015-07-31,2015-08-01,2015-12-31,80,L8
SB-23-X-D,CAATINGA,2016,2016-01-01,2016-07-31,2016-08-01,2016-12-31,80,L8
